1,3.2570,97.58,3.0856,98.94
3,3.0083,99.60,3.0219,99.15
4,2.9972,99.75,3.0164,99.24
6,2.9896,99.81,2.9982,99.54
7,2.9879,99.83,3.0817,97.12
8,2.9845,99.89,3.0104,99.20
9,2.9845,99.88,3.0018,99.40
10,2.9832,99.89,3.0002,99.50
11,2.9832,99.88,2.9894,99.69
12,2.9816,99.93,3.0183,98.96
13,2.9801,99.95,3.0153,99.02
14,2.9819,99.90,3.0296,98.62
16,2.9798,99.95,3.0001,99.38
16,2.9787,99.96,2.9933,99.55
17,2.9795,99.95,3.0048,99.26
16,2.9800,99.94,3.0149,98.99
17,2.9789,99.95,2.9971,99.40
18,2.9792,99.96,2.9930,99.55
19,2.9787,99.96,2.9950,99.55
20,2.9779,99.98,2.9965,99.47
21,2.9797,99.93,3.0487,98.01
22,2.9782,99.96,3.0468,98.07
23,2.9777,99.98,2.9991,99.38
24,2.9791,99.94,2.9994,99.35
26,2.9777,99.96,2.9883,99.68
27,2.9782,99.95,3.0068,99.18
28,2.9776,99.97,2.9911,99.59
29,2.9776,99.97,2.9971,99.44
30,2.9774,99.97,2.9961,99.45
31,2.9782,99.96,2.9985,99.38
32,2.9767,99.99,2.9960,99.47
33,2.9772,99.98,2.9884,99.69
34,2.9764,99.99,3.0165,98.97
35,2.9774,99.97,2.9963,99.45
36,2.9770,99.98,3.0021,99.30
37,2.9777,99.94,2.9930,99.54
38,2.9764,99.99,2.9946,99.49
39,2.9770,99.97,2.9954,99.47
41,2.9769,99.97,3.0058,99.22
42,2.9783,99.93,2.9950,99.48
43,2.9772,99.97,3.0461,98.18
44,2.9772,99.97,3.0107,99.06
45,2.9767,99.98,2.9856,99.73
46,2.9764,99.98,3.0005,99.31
47,2.9767,99.98,2.9924,99.56
48,2.9767,99.97,2.9933,99.53
49,2.9766,99.98,2.9876,99.67
